LocalTime;CPUTemp
08/04/2025 05:20;44
08/04/2025 05:20;45
08/04/2025 05:20;45
08/04/2025 05:20;45
08/04/2025 05:20;45
08/04/2025 05:20;44
08/04/2025 05:20;44
08/04/2025 05:20;45
08/04/2025 05:20;44
08/04/2025 05:20;44
08/04/2025 05:21;44
08/04/2025 05:21;44
08/04/2025 05:21;44
08/04/2025 05:21;44
08/04/2025 05:21;44
08/04/2025 05:21;44
08/04/2025 05:21;44
08/04/2025 05:21;44
08/04/2025 05:21;44
08/04/2025 05:21;44
08/04/2025 05:21;44
08/04/2025 05:21;44
08/04/2025 05:22;44
08/04/2025 05:22;44
08/04/2025 05:22;44
08/04/2025 05:22;45
08/04/2025 05:22;45
08/04/2025 05:22;45
08/04/2025 05:22;45
08/04/2025 05:22;45
08/04/2025 05:22;44
08/04/2025 05:22;45
08/04/2025 05:22;44
08/04/2025 05:22;44
08/04/2025 05:23;44
08/04/2025 05:23;44
08/04/2025 05:23;44
08/04/2025 05:23;44
08/04/2025 05:23;44
08/04/2025 05:23;45
08/04/2025 05:23;48
08/04/2025 05:23;52
08/04/2025 05:23;54
08/04/2025 05:23;56
08/04/2025 05:23;58
08/04/2025 05:23;59
08/04/2025 05:24;61
08/04/2025 05:24;62
08/04/2025 05:24;63
08/04/2025 05:24;64
08/04/2025 05:24;67
08/04/2025 05:24;69
08/04/2025 05:24;70
08/04/2025 05:24;71
08/04/2025 05:24;72
08/04/2025 05:24;73
08/04/2025 05:24;74
08/04/2025 05:24;74
08/04/2025 05:25;75
08/04/2025 05:25;75
08/04/2025 05:25;76
08/04/2025 05:25;76
08/04/2025 05:25;76
08/04/2025 05:25;77
08/04/2025 05:25;77
08/04/2025 05:25;77
08/04/2025 05:25;77
08/04/2025 05:25;77
08/04/2025 05:25;77
08/04/2025 05:25;77
08/04/2025 05:26;77
08/04/2025 05:26;77
08/04/2025 05:26;77
08/04/2025 05:26;77
08/04/2025 05:26;77
08/04/2025 05:26;77
08/04/2025 05:26;77
08/04/2025 05:26;77
08/04/2025 05:26;77
08/04/2025 05:26;77
08/04/2025 05:26;77
08/04/2025 05:26;77
08/04/2025 05:27;77
08/04/2025 05:27;77
08/04/2025 05:27;77
08/04/2025 05:27;77
08/04/2025 05:27;77
08/04/2025 05:27;77
08/04/2025 05:27;77
08/04/2025 05:27;77
08/04/2025 05:27;77
08/04/2025 05:27;77
08/04/2025 05:27;77
08/04/2025 05:27;77
08/04/2025 05:28;77
08/04/2025 05:28;77
08/04/2025 05:28;77
08/04/2025 05:28;77
08/04/2025 05:28;76
08/04/2025 05:28;76
08/04/2025 05:28;76
08/04/2025 05:28;76
08/04/2025 05:28;76
08/04/2025 05:28;76
08/04/2025 05:28;76
08/04/2025 05:28;76
08/04/2025 05:29;76
08/04/2025 05:29;76
08/04/2025 05:29;76
08/04/2025 05:29;78
08/04/2025 05:29;78
08/04/2025 05:29;78
08/04/2025 05:29;77
08/04/2025 05:29;77
08/04/2025 05:29;77
08/04/2025 05:29;77
08/04/2025 05:29;77
08/04/2025 05:29;77
